dateDataRecieved,departAirportCode,departAirportName,arrivalAirportCode,arrivalAirportName,departDate,arrivalDate,depTime,arrivalTime,journeyDuration,flightNumber,routeGroup,JourneyType,availableSeats,totalNumberOfStops,totalPrice,currency,fareCount,farePublishedFare,flightKey
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-04,2023-04-04,06:30:00,08:55:00,02:25,FR 3534,LEISURE,SUN_BREAK,5,1,149.81,EUR,1,149.81,FR~3534~ ~~CRL~04/04/2023 06:30~ALC~04/04/2023 08:55~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-04,2023-04-04,12:15:00,14:40:00,02:25,FR 9053,LEISURE,SUN_BREAK,1,1,156.27,EUR,1,156.27,FR~9053~ ~~CRL~04/04/2023 12:15~ALC~04/04/2023 14:40~~
2023-03-28,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-04,2023-04-04,09:25:00,11:50:00,02:25,FR 6456,LEISURE,SUN_BREAK,3,1,187.7,EUR,1,187.7,FR~6456~ ~~CRL~04/04/2023 09:25~IBZ~04/04/2023 11:50~~
2023-03-28,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-04,2023-04-04,16:00:00,18:45:00,02:45,FR 1916,LEISURE,SUN_BREAK,2,1,149.81,EUR,1,149.81,FR~1916~ ~~CRL~04/04/2023 16:00~AGP~04/04/2023 18:45~~
2023-03-28,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-04,2023-04-04,06:35:00,08:45:00,02:10,FR 7831,LEISURE,SUN_BREAK,3,1,97.99,EUR,1,97.99,FR~7831~ ~~CRL~04/04/2023 06:35~PMI~04/04/2023 08:45~~
2023-03-28,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-04,2023-04-04,07:15:00,10:50:00,04:35,FR 563,CANARY,SUN_BREAK,2,1,156.69,EUR,1,156.69,FR~ 563~ ~~CRL~04/04/2023 07:15~TFS~04/04/2023 10:50~~
2023-03-28,BRU,Brussels,AGP,Malaga,2023-04-05,2023-04-05,10:05:00,13:00:00,02:55,FR 2923,LEISURE,SUN_BREAK,-1,1,212.83,EUR,1,212.83,FR~2923~ ~~BRU~04/05/2023 10:05~AGP~04/05/2023 13:00~~
2023-03-28,BRU,Brussels,PMI,Mallorca,2023-04-05,2023-04-05,17:25:00,19:40:00,02:15,FR 2915,LEISURE,SUN_BREAK,2,1,135.64,EUR,1,135.64,FR~2915~ ~~BRU~04/05/2023 17:25~PMI~04/05/2023 19:40~~
2023-03-28,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-05,2023-04-05,13:10:00,17:45:00,03:35,FR 8577,LEISURE,SUN_BREAK,1,1,89.68,EUR,1,89.68,FR~8577~ ~~CRL~04/05/2023 13:10~RHO~04/05/2023 17:45~~
2023-03-28,CRL,Brussels (Charleroi),NAP,Naples,2023-04-05,2023-04-05,16:35:00,18:50:00,02:15,FR 1302,LEISURE,SUN_BREAK,1,1,93.91,EUR,1,99.99,FR~1302~ ~~CRL~04/05/2023 16:35~NAP~04/05/2023 18:50~~
